lang,file_a,file_b,hapaxes_a,hapaxes_b,overlap,share_a_pct,share_b_pct
eng,eng-ud-eslspok.csv,eng-ud-pud.csv,1037,3268,186,17.94,5.69
eng,eng_news_2016_20260404211100.csv,eng_newscrawl-public_2018_20260404164916.csv,4487619,2256437,403576,8.99,17.89
eng,eng_news-economy_2023_20260404164850.csv,eng_news_2023_topic2_20260404164651.csv,254370,1472600,41576,16.34,2.82
eng,eng-ud-atis.csv,eng-ud-pud.csv,186,3268,30,16.13,0.92
eng,eng-ud-gentle.csv,eng-ud-littleprince.csv,1922,585,94,4.89,16.07
eng,eng-ud-gum.csv,eng-ud-partut.csv,8111,3314,525,6.47,15.84
eng,eng-ud-atis.csv,eng-ud-gentle.csv,186,1922,29,15.59,1.51
eng,eng-ud-littleprince.csv,eng-ud-partut.csv,585,3314,91,15.56,2.75
eng,eng-uk_web-public_2018_20260404165415.csv,eng-uk_web_2019_20260404165339.csv,1331133,1528487,203220,15.27,13.3
epo,epo-ud-cairo.csv,epo-ud-prago.csv,90,660,6,6.67,0.91
epo,epo-ud-cairo.csv,epo_bible.csv,90,14497,1,1.11,0.01
epo,epo-ud-cairo.csv,epo_glot500_latn.csv,90,3854200,0,0.0,0.0
epo,epo-ud-cairo.csv,epo_mixed_2012_20260404165453.csv,90,654331,0,0.0,0.0
epo,epo-ud-cairo.csv,epo_wikipedia_2021_20260404165507.csv,90,420586,1,1.11,0.0
epo,epo-ud-prago.csv,epo_bible.csv,660,14497,39,5.91,0.27
epo,epo-ud-prago.csv,epo_glot500_latn.csv,660,3854200,6,0.91,0.0
epo,epo-ud-prago.csv,epo_mixed_2012_20260404165453.csv,660,654331,7,1.06,0.0
epo,epo-ud-prago.csv,epo_wikipedia_2021_20260404165507.csv,660,420586,26,3.94,0.01
epo,epo_bible.csv,epo_glot500_latn.csv,14497,3854200,755,5.21,0.02
epo,epo_bible.csv,epo_mixed_2012_20260404165453.csv,14497,654331,2033,14.02,0.31
epo,epo_bible.csv,epo_wikipedia_2021_20260404165507.csv,14497,420586,867,5.98,0.21
epo,epo_glot500_latn.csv,epo_mixed_2012_20260404165453.csv,3854200,654331,109532,2.84,16.74
epo,epo_glot500_latn.csv,epo_wikipedia_2021_20260404165507.csv,3854200,420586,97398,2.53,23.16
epo,epo_mixed_2012_20260404165453.csv,epo_wikipedia_2021_20260404165507.csv,654331,420586,145835,22.29,34.67
est,est_news_2019_20260404165546.csv,est_news_2020_20260404165555.csv,204207,283296,30341,14.86,10.71
est,est_news_2020_20260404165555.csv,est_news_2022_20260404165605.csv,283296,230594,32947,11.63,14.29
est,est_news_2011_300K_20260404165537.csv,est_news_2020_20260404165555.csv,202156,283296,27462,13.58,9.69
est,est_news_2019_20260404165546.csv,est_news_2022_20260404165605.csv,204207,230594,26282,12.87,11.4
est,est-ud-edt.csv,est-ud-ewt.csv,49678,13503,1668,3.36,12.35
