file,language,dominant_script,dominant_pct,top_scripts
bis_wikipedia_2021_20260404143656.csv,bis,Latin,99.37,Latin 99.4%; Arabic 0.6%
bjn_glot500_latn.csv,bjn,Latin,99.55,Latin 99.5%; Arabic 0.1%; Cyrillic 0.1%; Han 0.1%
bjn_wikipedia_2021_20260404143151.csv,bjn,Latin,99.59,Latin 99.6%; Han 0.1%; Arabic 0.1%; Devanagari 0.1%
bod_community_2017_20260404184549.csv,bod,Tibetan,86.08,Tibetan 86.1%; Latin 6.5%; Han 5.7%; Devanagari 0.5%
bod_glot500_tibt.csv,bod,Tibetan,97.93,Tibetan 97.9%; Latin 1.8%; Han 0.3%; Devanagari 0.0%
bos_community_2017_20260404143703.csv,bos,Latin,99.36,Latin 99.4%; Cyrillic 0.6%; Hebrew 0.0%; Hiragana 0.0%
bos_glot500_latn.csv,bos,Latin,99.64,Latin 99.6%; Cyrillic 0.2%; Greek 0.1%; Arabic 0.1%
bos_news_2019_20260404143713.csv,bos,Latin,99.92,Latin 99.9%; Cyrillic 0.1%; Greek 0.0%
bos_news_2020_20260404143720.csv,bos,Latin,99.91,Latin 99.9%; Cyrillic 0.1%; Arabic 0.0%
bos_wikipedia_2021_20260404143737.csv,bos,Latin,99.72,Latin 99.7%; Cyrillic 0.1%; Greek 0.1%; Arabic 0.0%
bpy_glot500_beng.csv,bpy,Bengali,93.24,Bengali 93.2%; Latin 5.3%; Arabic 0.8%; Thai 0.6%
bqc_glot500_latn.csv,bqc,Latin,93.91,Latin 93.9%; Unknown 6.1%
bre-ud.csv,bre,Latin,100.0,Latin 100.0%
bre_glot500_latn.csv,bre,Latin,98.66,Latin 98.7%; Cyrillic 0.5%; Greek 0.3%; Arabic 0.2%
bre_wikipedia_2007_20260404143746.csv,bre,Latin,98.3,Latin 98.3%; Greek 0.6%; Cyrillic 0.5%; Han 0.3%
bre_wikipedia_2021_20260404143759.csv,bre,Latin,99.33,Latin 99.3%; Greek 0.2%; Han 0.1%; Cyrillic 0.1%
bsb_glot500_latn.csv,bsb,Latin,99.02,Latin 99.0%; Cyrillic 0.5%; Han 0.2%; Arabic 0.1%
bua_wikipedia_2021_20260404144004.csv,bua,Cyrillic,97.48,Cyrillic 97.5%; Latin 2.2%; Han 0.2%; Greek 0.1%
bug_wikipedia_2021_20260404143805.csv,bug,Latin,94.88,Latin 94.9%; Buginese 5.1%
bul-ud.csv,bul,Cyrillic,99.57,Cyrillic 99.6%; Latin 0.4%
bul_bible.csv,bul,Cyrillic,99.99,Cyrillic 100.0%; Latin 0.0%
bul_glot500_cyrl.csv,bul,Cyrillic,80.09,Cyrillic 80.1%; Latin 19.4%; Greek 0.4%; Arabic 0.1%
bul_news_2011_1M_20260404143812.csv,bul,Cyrillic,95.52,Cyrillic 95.5%; Latin 4.5%; Greek 0.0%; Han 0.0%
bul_news_2019_20260404143822.csv,bul,Cyrillic,95.85,Cyrillic 95.8%; Latin 4.1%; Greek 0.0%; Devanagari 0.0%
bul_news_2020_20260404143837.csv,bul,Cyrillic,95.22,Cyrillic 95.2%; Latin 4.8%; Greek 0.0%; Arabic 0.0%
bul_news_2022_20260404143855.csv,bul,Cyrillic,93.48,Cyrillic 93.5%; Latin 6.5%; Greek 0.0%; Han 0.0%
bul_newscrawl_2011_20260404143908.csv,bul,Cyrillic,91.51,Cyrillic 91.5%; Latin 8.5%; Greek 0.0%; Arabic 0.0%
bul_wikipedia_2021_20260404143935.csv,bul,Cyrillic,86.28,Cyrillic 86.3%; Latin 13.1%; Greek 0.5%; Han 0.1%
bzj_glot500_latn.csv,bzj,Latin,100.0,Latin 100.0%
cab_glot500_latn.csv,cab,Latin,100.0,Latin 100.0%
cak_glot500_latn.csv,cak,Latin,99.62,Latin 99.6%; Unknown 0.4%
cat-ud.csv,cat,Latin,100.0,Latin 100.0%
cat_glot500_latn.csv,cat,Latin,99.18,Latin 99.2%; Cyrillic 0.3%; Greek 0.2%; Han 0.1%
cat_news_2019_20260404144033.csv,cat,Latin,100.0,Latin 100.0%; Armenian 0.0%; Unknown 0.0%; Cyrillic 0.0%
cat_news_2020_20260404144041.csv,cat,Latin,99.99,Latin 100.0%; Unknown 0.0%; Greek 0.0%; Han 0.0%
cat_news_2022_20260404144049.csv,cat,Latin,99.99,Latin 100.0%; Cyrillic 0.0%; Han 0.0%; Greek 0.0%
cat_newscrawl_2016_20260404144059.csv,cat,Latin,99.87,Latin 99.9%; Han 0.1%; Unknown 0.0%; Greek 0.0%
cat_web_2004_20260404144114.csv,cat,Latin,100.0,Latin 100.0%
cat_wikipedia_2021_20260404144133.csv,cat,Latin,98.77,Latin 98.8%; Greek 0.4%; Han 0.3%; Cyrillic 0.2%
cbk_glot500_latn.csv,cbk,Latin,99.57,Latin 99.6%; Cyrillic 0.1%; Arabic 0.1%; Han 0.1%
cbk_wikipedia_2021_20260404144309.csv,cbk,Latin,99.79,Latin 99.8%; Han 0.1%; Arabic 0.1%; Thai 0.0%
cdo_wikipedia_2021_20260405073805.csv,cdo,Latin,87.28,Latin 87.3%; Han 12.6%; Greek 0.1%
ceb-ud.csv,ceb,Latin,100.0,Latin 100.0%
ceb_bible.csv,ceb,Latin,100.0,Latin 100.0%
ceb_community_2017_20260404144149.csv,ceb,Latin,99.94,Latin 99.9%; Arabic 0.0%; Hebrew 0.0%; Greek 0.0%
ceb_glot500_latn.csv,ceb,Latin,96.29,Latin 96.3%; Cyrillic 1.2%; Arabic 1.1%; Han 0.7%
ceb_wikipedia_2021_20260404144206.csv,ceb,Latin,99.98,Latin 100.0%; Cyrillic 0.0%; Arabic 0.0%; Greek 0.0%
ces-cz_web-public_2019_20260404152733.csv,ces,Latin,99.81,Latin 99.8%; Cyrillic 0.1%; Greek 0.0%; Unknown 0.0%
ces-ud-cac.csv,ces,Latin,100.0,Latin 100.0%
ces-ud-cltt.csv,ces,Latin,100.0,Latin 100.0%
ces-ud-fictree.csv,ces,Latin,100.0,Latin 100.0%
ces-ud-pdtc.csv,ces,Latin,100.0,Latin 100.0%
ces-ud-poetry.csv,ces,Latin,100.0,Latin 100.0%
ces-ud-pud.csv,ces,Latin,100.0,Latin 100.0%
ces_bible.csv,ces,Latin,100.0,Latin 100.0%
ces_glot500_latn.csv,ces,Latin,99.39,Latin 99.4%; Cyrillic 0.3%; Greek 0.1%; Han 0.1%
