filename,lang,reason
grn_wikipedia_2012_20260404173300.csv,grn,60.7% hapax overlap with grn_community_2017_20260404173253.csv
gsw_wikipedia_2012_20260404182123.csv,gsw,58.2% hapax overlap with gsw_wikipedia_2021_20260404182135.csv
hat-ud-autogramm.csv,hat,51.6% hapax overlap with hat-ud-adolphe.csv
hat_community_2017_20260404173351.csv,hat,42.1% hapax overlap with hat_wikipedia_2021_20260404173403.csv
hat_wikipedia_2011_20260404173357.csv,hat,70.7% hapax overlap with hat_community_2017_20260404173351.csv
hau_newscrawl_2011_20260404173427.csv,hau,42.0% hapax overlap with hau_community_2017_20260404173421.csv
hif_wikipedia_2011_20260404171121.csv,hif,46.3% hapax overlap with hif_wikipedia_2021_20260404171127.csv
hin_news_2011_1M_20260404173621.csv,hin,53.4% hapax overlap with hin_news_2011_20260404173611.csv
hsb_news_1999_20260405092036.csv,hsb,49.0% hapax overlap with hsb_mixed_2012_20260405092027.csv
ile_wikipedia_2012_20260405082128.csv,ile,42.0% hapax overlap with ile_wikipedia_2021_20260405082133.csv
ilo_community_2017_20260404174830.csv,ilo,60.0% hapax overlap with ilo_wikipedia_2021_20260404174843.csv
ina_wikipedia_2011_20260404211356.csv,ina,48.9% hapax overlap with ina_wikipedia_2021_20260404211402.csv
isl-is_web-public_2019_20260404174736.csv,isl,85.4% hapax overlap with isl-is_web_2019_20260404174640.csv
isl-is_web_2015_20260404174534.csv,isl,39.9% hapax overlap with isl-is_web_2019_20260404174640.csv
isl_web_2005_20260404174441.csv,isl,74.7% hapax overlap with isl_mixed_2011_20260404174320.csv
ita-ud-partut.csv,ita,46.5% hapax overlap with ita-ud-isdt.csv
jav_community_2017_20260405071716.csv,jav,50.0% hapax overlap with jav_wikipedia_2021_20260405071729.csv
jav_wikipedia_2011_20260405071722.csv,jav,49.5% hapax overlap with jav_community_2017_20260405071716.csv
kaa_wikipedia_2021_20260405071941.csv,kaa,34.3% hapax overlap with kaa_glot500_latn.csv
kab_wikipedia_2012_20260405071810.csv,kab,49.9% hapax overlap with kab_wikipedia_2021_20260405071816.csv
kan_community_2017_20260405071841.csv,kan,51.2% hapax overlap with kan_wikipedia_2011_20260405071854.csv
kan_wikipedia_2011_20260405071854.csv,kan,72.6% hapax overlap with kan_wikipedia_2021_20260405071914.csv
kat-ge_web_2017_20260404172414.csv,kat,83.2% hapax overlap with kat_mixed_2017_20260404172043.csv
kat-ge_web_2019_20260404172601.csv,kat,35.3% hapax overlap with kat_mixed_2017_20260404172043.csv
kbd_wikipedia_2012_20260405071752.csv,kbd,72.7% hapax overlap with kbd_community_2017_20260405071745.csv
kbd_wikipedia_2021_20260405071757.csv,kbd,71.2% hapax overlap with kbd_community_2017_20260405071745.csv
kbp_wikipedia_2021_20260405071803.csv,kbp,49.3% hapax overlap with kbp_glot500_latn.csv
kin_community_2017_20260405072138.csv,kin,37.6% hapax overlap with kin_glot500_latn.csv
kir_newscrawl_2011_20260405072315.csv,kir,75.9% hapax overlap with kir_community_2017_20260405072301.csv
koi_wikipedia_2012_20260405072222.csv,koi,68.8% hapax overlap with koi_wikipedia_2021_20260405072228.csv
kom_wikipedia_2012_20260405072211.csv,kom,49.4% hapax overlap with kom_wikipedia_2021_20260405072217.csv
krc_wikipedia_2012_20260405071947.csv,krc,62.5% hapax overlap with krc_wikipedia_2021_20260405071954.csv
ksh_wikipedia_2012_20260405072158.csv,ksh,69.7% hapax overlap with ksh_wikipedia_2021_20260405072204.csv
lad_wikipedia_2012_20260405072349.csv,lad,51.5% hapax overlap with lad_wikipedia_2021_20260405072355.csv
lao_newscrawl_2011_20260405072425.csv,lao,48.3% hapax overlap with lao_community_2017_20260405072412.csv
lao_wikipedia_2021_20260405072431.csv,lao,42.7% hapax overlap with lao_community_2017_20260405072412.csv
lat_wikipedia_2012_100K_20260405072457.csv,lat,59.2% hapax overlap with lat_wikipedia_2016_20260405072505.csv
lat_wikipedia_2021_20260405072513.csv,lat,50.1% hapax overlap with lat_wikipedia_2016_20260405072505.csv
lbe_wikipedia_2021_20260405072406.csv,lbe,82.5% hapax overlap with lbe_wikipedia_2012_20260405072401.csv
