used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
diq,Dimli,Zazaki,,diq,,,diq,diq,Latin,99.64,,0.0,62480,412342,Indo-European,Iranian,Eurasia,39.0,41.0,Turkey,"community, wikipedia"
div,Maldivian,Dhivehi,,div,,,div,div,Thaana,99.25,,0.0,268161,3045521,Indo-European,Indic,Eurasia,4.16666666667,73.5,Maldives,"news, newscrawl, wikipedia"
dsb,Lower Sorbian,Sorbian (Lower),,dsb,,,dsb,dsb,Latin,99.83,,0.0,27981,114144,Indo-European,Slavic,Eurasia,51.75,14.3333333333,Germany,wikipedia
ekk,Standard Estonian,Estonian,,ekk,,,ekk,ekk,Latin,99.31,,0.0,895873,11691442,Uralic,Finnic,Eurasia,59.0,26.0,Estonia,wikipedia
ell,Modern Greek,Greek (Cypriot),Greek,ell,Greek,,ell,ell,Greek,88.83,Latin,11.12,2575449,399274592,Indo-European,Greek,Eurasia,34.75,33.0,Cyprus,"bible, news, newscrawl, wikipedia"
eml,Emiliano-Romagnolo,,,eml,,,,eml,Latin,99.79,,0.0,61869,669110,,,,,,,wikipedia
eng,English,,,eng,,,eng,eng,Latin,96.54,,0.0,35474437,20952813381,Indo-European,Germanic,Eurasia,52.0,0.0,Ireland; United Kingdom,"bible, news, news-economy, newscrawl-public, private-dikusa-hait, web, web-public, wikipedia"
epo,Esperanto,,,epo,,,,epo,Latin,99.81,,0.0,1138647,40995848,,,,,,,"bible, mixed, wikipedia"
est,Estonian,,,est,,,,est,Latin,99.98,,0.0,1759118,66318212,,,,,,,"bible, news"
eus,Basque,Basque (Bidasoa Valley),,eus,,,eus,eus,Latin,99.95,,0.0,820368,15648603,Basque,Basque,Eurasia,43.0,-3.83333333333,Spain,"bible, news, web, wikipedia"
ewe,Ewe,Ewe (Anlo),,ewe,,,ewe,ewe,Latin,99.88,,0.0,21194,393052,Niger-Congo,Gbe,Africa,6.0,1.0,Ghana,"bible, community, wikipedia"
ext,Extremaduran,,,ext,,,,ext,Latin,98.65,Greek,1.13,37171,224401,,,,,,,wikipedia
fao,Faroese,,,fao,,,fao,fao,Latin,99.97,,0.0,101474,1259749,Indo-European,Germanic,Eurasia,62.0,-7.0,Denmark,"news, newscrawl, wikipedia"
fas,Persian,,,fas,,,,fas,Arabic,97.08,Latin,2.29,5314819,942728613,,,,,,,"news, newscrawl, web-public"
fij,Fijian,,,fij,,,fij,fij,Latin,99.91,,0.0,5620,54752,Austronesian,Oceanic,Papunesia,-17.8333333333,178.0,Fiji,"newscrawl, wikipedia"
fin,Finnish,,,fin,,,fin,fin,Latin,99.97,,0.0,12769864,455300152,Uralic,Finnic,Eurasia,62.0,25.0,Finland,"bible, news, web, wikipedia"
fra,French,,,fra,,,fra,fra,Latin,99.9,,0.0,5811290,1648882058,Indo-European,Romance,Eurasia,48.0,2.0,Switzerland; France,"bible, mixed, news, newscrawl-public, web, wikipedia"
frp,Francoprovençal,,,frp,,,,frp,Latin,99.87,,0.0,11807,49319,,,,,,,wikipedia
frr,Northern Frisian,Frisian (North),,frr,,,frr,frr,Latin,99.84,,0.0,29579,212695,Indo-European,Germanic,Eurasia,54.5,9.0,Germany,wikipedia
fry,Western Frisian,Frisian,,fry,,,fry,fry,Latin,99.95,,0.0,265466,6179130,Indo-European,Germanic,Eurasia,53.0,5.0,Netherlands; Germany,"news, newscrawl, wikipedia"
ful,Fulah,,,ful,,,,ful,Latin,99.64,,0.0,2773,7945,,,,,,,wikipedia
fur,Friulian,,,fur,,,,fur,Latin,99.87,,0.0,24123,183546,,,,,,,wikipedia
gag,Gagauz,,,gag,,gag,gag,gag,Latin,99.85,,0.0,28095,98139,Altaic,Turkic,Eurasia,46.3333333333,28.6666666667,Moldova,wikipedia
gan,Gan Chinese,,,gan,,,,gan,Han,78.62,Latin,19.92,14606,35661,,,,,,,"community, wikipedia"
gaz,West Central Oromo,Oromo (West-Central),,gaz,,,gaz,gaz,Latin,100.0,,0.0,47999,300144,Afro-Asiatic,Lowland East Cushitic,Africa,9.0,37.0,Ethiopia,web
gla,Scottish Gaelic,Gaelic (Scots),,gla,,,gla,gla,Latin,99.81,,0.0,22217,190623,Indo-European,Celtic,Eurasia,57.0,-4.0,United Kingdom,"bible, wikipedia"
gle,Irish,Irish (Donegal),,gle,,,gle,gle,Latin,99.89,,0.0,850629,22124839,Indo-European,Celtic,Eurasia,55.0,-8.0,Ireland,"web, wikipedia"
glg,Galician,,,glg,,,glg,glg,Latin,99.83,,0.0,441850,18996519,Indo-European,Romance,Eurasia,43.0,-8.0,Spain,"community, wikipedia"
glk,Gilaki,,,glk,,,glk,glk,Arabic,97.67,Latin,2.23,573598,20773152,Indo-European,Iranian,Eurasia,37.3333333333,50.0,Iran,"community, wikipedia"
glv,Manx,,,glv,,,glv,glv,Latin,99.89,,0.0,27609,352599,Indo-European,Celtic,Eurasia,54.1666666667,-4.5,United Kingdom,"bible, wikipedia"
gom,Goan Konkani,,,gom,,,,gom,Latin,99.97,,0.0,106592,759116,,,,,,,"community, newscrawl, wikipedia"
gor,Gorontalo,,,gor,,,gor,gor,Latin,99.47,,0.0,11968,69770,Austronesian,Greater Central Philippine,Papunesia,0.5,122.0,Indonesia,wikipedia
grn,Guarani,,,grn,,,,grn,Latin,99.96,,0.0,36062,195465,,,,,,,"community, wikipedia"
gsw,Swiss German,Alsatian,,gsw,,,gsw,gsw,Latin,99.84,,0.0,382972,3682463,Indo-European,Germanic,Eurasia,48.5,7.5,France,wikipedia
guj,Gujarati,,,guj,,,guj,guj,Gujarati,98.48,Latin,1.46,919218,29134599,Indo-European,Indic,Eurasia,23.0,72.0,India,"bible, news, newscrawl, wikipedia"
