file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
bam,5366,26199,104,13120,155,14424,233,15730,345,17032,506,18341,592,18869,695,19388,820,19912,960,20437,1135,20962,1222,21223,1340,21484,1471,21746,1602,22008,1733,22270,1864,22532,1995,22794,2223,23056,2485,23318,2747,23580,2878,23711,3009,23842,3140,23973,3271,24104,3402,24235,3533,24366,3664,24497,3795,24628,3926,24759,4057,24890,4188,25021,4319,25152,4450,25283,4581,25414,4712,25545,4843,25676,4974,25807,5105,25938,5236,26069,5366,26199,28,9354,354,17122,268,16191,1609,22022
ban,25539,192302,207,96253,324,105811,499,115400,768,125025,1195,134617,1434,138471,1716,142305,2062,146151,2492,150003,3019,153845,3337,155768,3675,157692,4059,159612,4484,161535,4965,163459,5485,165381,6126,167304,6767,169227,7571,171149,8533,173073,9014,174035,9494,174995,9975,175957,10456,176919,11117,177880,12078,178841,13040,179803,14001,180764,14963,181726,15924,182687,16886,183649,17847,184610,18809,185572,19770,186533,20732,187495,21693,188456,22655,189418,23616,190379,24578,191341,25539,192302,216,97177,2162,147151,1276,136010,7661,171329
bar,214936,1576193,240,788103,458,866919,877,945735,1712,1024563,3392,1103345,4496,1134876,5986,1166396,7999,1197919,10720,1229440,14358,1260957,16635,1276717,19262,1292479,22390,1308241,26072,1324006,30016,1339767,35269,1355526,40523,1371288,47751,1387051,55632,1402813,63513,1418575,67453,1426455,73079,1434336,80960,1442217,88841,1450098,96722,1457979,104603,1465860,112484,1473741,120365,1481622,128246,1489503,136127,1497384,144008,1505265,151889,1513146,159770,1521027,167651,1528908,175532,1536789,183413,1544670,191294,1552551,199175,1560432,207056,1568313,214936,1576193,1180,981208,11322,1235460,10746,1229700,64480,1420509
bcl,31109,272190,78,136231,148,149843,270,163389,487,176964,858,190541,1073,195978,1340,201432,1668,206875,2072,212319,2578,217755,2884,220480,3227,223197,3616,225920,4066,228645,4578,231366,5145,234085,5826,236809,6581,239528,7489,242252,8426,244971,9107,246333,9787,247693,10468,249055,11148,250415,11829,251777,12509,253137,13417,254498,14778,255859,16139,257220,17500,258581,18861,259942,20222,261303,21583,262664,22944,264025,24305,265386,25666,266747,27027,268108,28388,269469,29749,270830,31109,272190,225,159219,2574,217719,1555,205117,9332,246783
bel,753716,22162003,1105,11081544,1750,12189870,2723,13297585,4156,14405886,6338,15513592,7526,15956903,8956,16400047,10711,16843217,12880,17286450,15608,17729646,17240,17951255,19092,18172891,21216,18394467,23660,18616141,26481,18837764,29773,19059339,33662,19280958,38315,19502599,43921,19724183,50773,19945813,54798,20056629,59314,20167423,64392,20278248,70156,20389046,76727,20499863,84285,20610663,93052,20721481,103325,20832288,115360,20943096,129925,21053905,147363,21164714,168682,21275523,195481,21386334,230136,21497145,275238,21607954,330643,21718764,421286,21829573,532096,21940383,642906,22051193,753716,22162003,20842,18357687,106597,20865008,37685,19474818,226114,21485079
ben,1851992,66691165,1023,33350870,1473,36684067,2114,40015620,3080,43350272,4600,46684088,5448,48018906,6489,49351959,7785,50685797,9431,52019562,11576,53353084,12897,54020311,14418,54686901,16191,55353973,18271,56020675,20739,56687655,23698,57354494,27296,58021440,31750,58688277,37384,59355234,44603,60022080,49017,60355555,54114,60688973,60045,61022431,67020,61355895,75296,61689338,85217,62022802,97244,62356254,112077,62689696,130636,63023151,154232,63356616,184868,63690065,225790,64023523,280936,64356978,356872,64690432,462740,65023887,621126,65357342,851625,65690798,1185081,66024254,1518537,66357710,1851992,66691165,38847,59504962,184836,63689777,92599,62235294,555597,65226284
bih,41761,498616,143,249572,219,274345,343,299281,540,324196,847,349057,1018,359004,1229,368980,1491,378977,1818,388941,2232,398907,2486,403889,2776,408870,3108,413853,3492,418845,3932,423834,4454,428815,5069,433799,5808,438788,6686,443772,7732,448757,8355,451249,8978,453741,9759,456234,10590,458727,11421,461220,12490,463713,13737,466207,14984,468701,16230,471193,17477,473687,19324,476179,21817,478672,24310,481165,26803,483658,29296,486151,31789,488644,34282,491137,36775,493630,39268,496123,41761,498616,561,326326,4215,426664,2088,395715,12528,463789
bik,80506,908079,114,454228,221,499657,413,544974,745,590286,1318,635666,1653,653844,2074,671979,2607,690153,3287,708308,4170,726478,4708,735558,5329,744628,6049,753717,6879,762794,7839,771870,8945,780955,10250,790034,11777,799111,13593,808191,15802,817272,16937,821812,18415,826353,19929,830895,21442,835434,23238,839974,25508,844514,27778,849054,30049,853596,32319,858136,35103,862676,39643,867216,44183,871756,48724,876297,53264,880837,57805,885378,62345,889918,66885,894458,71426,898999,75966,903539,80506,908079,790,594911,7315,767154,4025,723813,24151,841800
bis,1614,6465,25,3258,35,3565,53,3887,87,4207,145,4529,177,4657,219,4787,267,4915,331,5043,396,5173,428,5237,461,5303,515,5366,580,5431,645,5496,709,5560,774,5625,839,5690,903,5754,968,5819,1000,5851,1033,5884,1065,5916,1097,5948,1130,5981,1162,6013,1194,6045,1227,6078,1259,6110,1291,6142,1324,6175,1356,6207,1388,6239,1421,6272,1453,6304,1485,6336,1518,6369,1550,6401,1582,6433,1614,6465,9,2254,67,4040,80,4153,484,5335
bjn,30862,208712,471,104395,695,114818,1011,125241,1470,135667,2142,146108,2499,150276,2922,154447,3425,158627,4023,162796,4742,166970,5160,169060,5600,171146,6122,173234,6644,175322,7288,177407,7984,179495,8679,181580,9611,183667,10655,185755,11698,187841,12220,188885,12742,189929,13264,190973,14166,192016,15209,193059,16253,194103,17296,195146,18340,196190,19383,197233,20427,198277,21470,199320,22514,200364,23558,201408,24601,202451,25645,203495,26688,204538,27732,205582,28775,206625,29819,207669,30862,208712,233,86639,2798,153331,1543,137022,9258,182961
