lang,script,script_type,segmentor,language_name,family,genus,typology,dominant_script_pct,original_token_count,original_type_count,current_token_count,current_type_count,last_type_frequency,type_token_ratio,corpus_zipf_slope,compress_ratio,compress_reduction_pct,token_frequency_entropy,token_frequency_perplexity,avg_type_length,avg_token_length,hapax_type_ratio,single_token_type_ratio,word_count,word_total_frequency,word_ttr,word_entropy,word_perplexity,word_zipf_slope,morph_zipf_slope,word_hapax_ratio,morph_hapax_ratio,word_avg_length,word_avg_length_weighted,morph_count,morph_total_frequency,morph_ttr,morph_entropy,morph_perplexity,morph_type_entropy,morph_type_perplexity,morph_avg_length,morph_avg_length_weighted,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy,root_count,affix_count,prefix_count,suffix_count
ces,Latn,alphabet,SlavickovaDict,Czech,Indo-European,Slavic,Fusional,99.91,1639474654,11195130,1541106312.0,119828,625,0.1274765973720391,-1.2322085986561573,0.755266,24.47,12.586675406199864,6151.299076408867,7.778999899856461,5.166298213824978,1.0,0.0,119827.0,969055.2199999988,0.1236534281297201,12.78314030618107,7048.694222124175,-1.231821483961195,-1.7221482124846408,1.0,0.61677113804151,7.779056473082027,5.299341343004175,35895.0,2237753.092000167,0.01604064368331,9.165359248097976,574.1799917473669,10.341054044027953,1297.0820642005456,5.093606351859591,2.294866562516906,2.951238034833552,1.422058467624158,1.5291795672093935,0.5655236298997721,0.8325335692289718,0.5383148048779308,0.2512971736117825,2.309211122148428,1.364841121231469,0.9443700009169856,0.3682803184322183,0.5168988563933424,0.6795113015632717,0.2350215041943439,9.507965857626637,6.9398828553532015,5.730115899216579,6.470567832415732,11.695474821659998,7.385668686539209,5.905146152213892,7.076963057791013,35657.0,1487.0,750.0,1001.0
che,Cyrl,alphabet,,Chechen,Nakh-Daghestanian,Nakh,Agglutinative,94.03,8976794,616746,8438188.0,107612,3,0.11448006882397,-1.1639295818096904,0.600547,39.95,10.58368167330207,1534.636941412141,7.723906255807902,6.750738784203433,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chv,Cyrl,alphabet,,Chuvash,Altaic,Turkic,Agglutinative,91.95,13617218,860487,12800189.0,143960,5,0.1531493757415338,-1.2346490709086069,0.741787,25.82,13.268701636060367,9869.09196524158,8.05070158377327,5.817287307242104,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ckb,Arab,abjad,,Kurdish (Central),Indo-European,Iranian,Fusional,63.98,34087911,2300047,32042637.0,502075,3,0.534137082044811,-1.2047266915099388,0.758984,24.1,13.282995647186356,9967.359488960874,8.34064830951551,5.473181779639423,0.9999541901110393,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmn,Hani,logographic,,Kunming,Sino-Tibetan,Chinese,Isolating,97.81,5633233,3779777,57907304.0,76787,37,0.0816882353026152,-1.23497023317648,0.926061,7.39,12.092036110072709,4365.817504211106,2.468542852305729,1.7926763435576278,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cos,Latn,alphabet,,Corsican,Indo-European,Romance,Fusional,99.72,63462820,4649758,59655051.0,714380,3,0.7599765590883427,-1.266702970517543,0.842468,15.75,13.49864602430458,11574.369806662033,8.407582799070523,4.964357033237638,0.9998978134886196,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cym,Latn,alphabet,,Welsh (Colloquial),Indo-European,Celtic,Fusional,99.53,45085322,1138828,42380203.0,36040,47,0.0383404184348576,-1.3044718494019332,0.778118,22.19,10.861227288336966,1860.1809972670092,7.0397058823529415,4.604311428144881,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dan,Latn,alphabet,,Danish,Indo-European,Germanic,Fusional,99.95,3108617544,19880034,2922101529.0,63300,1526,0.0673404014613036,-1.2855572797357795,0.771141,22.89,10.611518194415082,1564.5349744918535,8.589589257503949,4.6754723336651045,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,Latn,alphabet,CELEX,German,Indo-European,Germanic,Fusional,99.93,9286535605,55115197,8729344767.0,125408,2230,0.1334127511968852,-1.278484955097111,0.743891,25.61,11.328188735955283,2571.133376430384,9.913003955090584,5.592710821041169,1.0,0.0,125407.0,963100.5480000074,0.1302117419208436,11.52558619442797,2948.133611278892,-1.2780987222256026,-1.5845872832271737,1.0,0.7456697459584296,9.913059079636705,5.692046161103376,55424.0,1483812.9170000905,0.0373524177913573,9.479398014562552,713.8108470896586,11.25784620725898,2448.777887699898,6.97459584295612,3.6945399694210006,2.3126061543613994,1.526238567225115,0.7863675871362843,0.3358664189399316,0.2803671246421651,0.748560063037973,-0.0914550707009274,1.5406625196935977,1.2628796022656057,0.2777829174280496,0.1175613296401093,0.1129132895062978,0.8972820815205423,-0.0114711899627516,9.442515904260144,7.183654718299541,6.473688489682966,6.705207456814665,11.83470672434111,7.909090671769254,7.546543337683001,7.546844332952237,54861.0,2082.0,998.0,1552.0
deu,Latn,alphabet,MorphoChallenge,German,Indo-European,Germanic,Fusional,99.93,9286535605,55115197,8729344767.0,125408,2230,0.1334127511968852,-1.278484955097111,0.743891,25.61,11.328188735955283,2571.133376430384,9.913003955090584,5.592710821041169,1.0,0.0,125407.0,963100.5480000074,0.1302117419208436,11.52558619442797,2948.133611278892,-1.2780987222256026,-1.583015022123936,1.0,0.7135941024371458,9.913059079636705,5.692046161103376,54531.0,1672321.6980000637,0.0326079605767322,8.973190263355157,502.5733159469885,10.927749392196576,1947.9614238734896,6.916066090847408,3.278081086644964,2.4619518846635358,1.6618689546835503,0.8000829299799852,0.3461210299265591,0.2607111245783728,0.7478382481877683,-0.0602247191011236,1.7363936729895653,1.414501370421834,0.3218923025677554,0.135107391715447,0.1315237326601534,0.8833833320605483,-0.0579377964051371,8.887310378431016,6.712196248095024,6.138155118575219,5.449902653556783,11.277405443244358,7.87688406339092,7.460778131515241,7.132424468457651,53890.0,2389.0,1172.0,1573.0
