lang,language,family,genus,macroarea,lat,lon,countries,n_words_segment_true,has_freq_segment_true,avg_levenshtein_segment_true,levenshtein_score_segment_true,avg_loss_segment_true,word_accuracy_segment_true,n_correct_segment_true,n_words_segment_universal,avg_levenshtein_segment_universal,levenshtein_score_segment_universal,word_accuracy_segment_universal,n_correct_segment_universal,n_words_root_true,has_freq_root_true,avg_levenshtein_root_true,levenshtein_score_root_true,avg_loss_root_true,word_accuracy_root_true,n_correct_root_true,n_words_root_universal,avg_levenshtein_root_universal,levenshtein_score_root_universal,word_accuracy_root_universal,n_correct_root_universal,original_distinct_words_results,original_total_frequency_results,word_count_results,morph_count_results,word_total_frequency_results,morph_total_frequency_results,word_ttr_results,morph_ttr_results,word_hapax_count_results,morph_hapax_count_results,word_hapax_ratio_results,morph_hapax_ratio_results,word_freq_hapax_count_results,morph_freq_hapax_count_results,word_freq_hapax_ratio_results,morph_freq_hapax_ratio_results,word_avg_length_results,morph_avg_length_results,word_avg_length_weighted_results,morph_avg_length_weighted_results,word_frequency_entropy_results,morph_frequency_entropy_results,word_frequency_perplexity_results,morph_frequency_perplexity_results,avg_root_count_results,avg_prefix_count_results,avg_suffix_count_results,avg_interfix_count_results,avg_root_count_weighted_results,avg_prefix_count_weighted_results,avg_suffix_count_weighted_results,avg_interfix_count_weighted_results,cutoff_word_pct_results,distinct_words_statistics,total_frequency_statistics,cutoff_95_words_statistics,cutoff_95_pct_vocab_statistics,cutoff_95_last_freq_statistics,cutoff_99_words_statistics,cutoff_99_pct_vocab_statistics,cutoff_99_last_freq_statistics
pnb,Western Panjabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385261.0,14706760.0,34603.0,29619.0,13971432.0,18816797.0,0.0024766967337349,0.0015740723567353,34603.0,26212.0,1.0,0.8849724838785914,0.0,0.0,0.0,0.0,5.137907117879952,4.975184847564064,3.718022032387232,2.760623500375755,10.766738427086544,9.049884278383526,1742.253004064661,530.0131258293816,1.0017050544750454,0.001011472993671,0.2793399416235586,2.889922839060197e-05,1.000140214689518,6.928423657646546e-05,0.3465943218991439,1.359917866686822e-06,8.981703312819102,385261.0,14706760.0,34603.0,8.98,14.0,238194.0,61.83,1.0
pnt,Pontic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6545.0,21375.0,5477.0,5143.0,20307.0,31844.0,0.2697099522332201,0.1615060921994724,5477.0,4169.0,1.0,0.8106163717674509,3664.0,3030.0,0.6689793682672996,0.5891503013805172,7.47343436187694,5.191133579622789,4.894519131334023,3.1212473307373445,9.81034394595554,9.08476338023294,897.8582871708533,542.9830603631531,1.044915099507029,0.1172174548110279,0.8280080335950338,0.0136936278984845,1.0178756093957748,0.0508691584182794,0.4947062589254937,0.004678189786773,83.68220015278838,6545.0,21375.0,5477.0,83.68,1.0,6332.0,96.75,1.0
pol,Polish,Indo-European,Slavic,Eurasia,52.0,20.0,Poland,,,,,,,,,,,,,,,,,,,,,,,,,3733123.0,625832771.0,85373.0,24335.0,87078448.0,199720365.0,0.0009804148094141,0.0001218453611378,85373.0,12612.0,1.0,0.5182658722005342,0.0,0.0,0.0,0.0,8.478476801799165,5.325950277378261,5.711536854676142,2.4902406171749187,12.355680515663972,8.89329885588278,5241.196617338494,475.4991183509189,1.0883534606960046,0.3378468602485563,1.831398685767163,0.0297517950640132,1.0407097058045869,0.1629583131752646,1.080254737659082,0.0096455095295221,2.2869056283438827,3733123.0,625832771.0,129830.0,3.48,212.0,646021.0,17.31,10.0
por,Portuguese,Indo-European,Romance,Eurasia,39.0,-8.0,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,4135351.0,1895351980.0,26071.0,10723.0,1800586381.0,3485508205.0,1.4479172049230333e-05,3.07645237633288e-06,26071.0,6523.0,1.0,0.6083185675650471,0.0,0.0,0.0,0.0,7.819109355222277,4.902732444278653,4.851267863721557,2.5061271792358326,10.385399814989489,8.243271298298959,1337.5710525322206,303.0204390990107,1.0600283840282303,0.24287522534617,1.5717080280771738,0.0216332323271067,1.0249094253257045,0.1117172034191899,0.7897524228802884,0.009383787514052,0.6304422526648886,4135351.0,1895351980.0,26071.0,0.63,3076.0,157644.0,3.81,104.0
prs,Dari,Indo-European,Iranian,Eurasia,35.0,66.0,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,22303.0,1559701.0,11340.0,9676.0,1481726.0,2093876.0,0.0076532368332606,0.004621095040967,11340.0,8698.0,1.0,0.8989251756924349,0.0,0.0,0.0,0.0,4.763756613756613,4.613373294749897,3.2773454741294947,2.31920514872896,10.273312556600477,8.20332244612643,1237.5855626879577,294.74477864996726,1.0000881834215167,0.0004409171075837,0.2239858906525573,0.0,1.0000080986633155,0.0001889688106977,0.4129359949140394,0.0,50.84517777877415,22303.0,1559701.0,11340.0,50.85,11.0,19217.0,86.16,6.0
pus,Pashto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345270.0,8057751.0,61023.0,48350.0,7654865.0,10795967.0,0.0079717931015112,0.0044785242489162,61023.0,41147.0,1.0,0.851023784901758,0.0,0.0,0.0,0.0,5.570538977106993,5.251871768355739,3.5417937481588506,2.511303804466983,10.980283179026625,8.88530639912697,2020.2010745386317,472.8721608731259,1.002753060321518,0.0089638333087524,0.3729085754551562,0.0006063287612867,1.0010308477027354,0.0012359460290939,0.4074585247421085,0.0006160787943353,17.673994265357546,345270.0,8057751.0,61023.0,17.67,4.0,264693.0,76.66,1.0
que,Quechua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38421.0,448430.0,23116.0,16003.0,426010.0,917043.0,0.0542616370507734,0.0174506538951826,23116.0,12365.0,1.0,0.7726676248203462,0.0,0.0,0.0,0.0,8.202067831804811,5.542273323751797,6.780944109293209,3.1500703892838176,10.73992139566419,8.25324558596345,1710.1668790794904,305.12267485452526,1.0784305243121648,0.1329382246063332,1.3354819172867278,0.0346945838380342,1.0499777000539894,0.05721696673787,1.0282505105513955,0.0171873899673716,60.16501392467661,38421.0,448430.0,23116.0,60.17,2.0,33937.0,88.33,1.0
roa,Tarantino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28111.0,220045.0,17109.0,13384.0,209043.0,355476.0,0.0818444052180651,0.0376509243943332,17109.0,10638.0,1.0,0.7948296473401076,7205.0,5132.0,0.4211233853527383,0.3834429169157202,7.783388859664504,5.563060370591751,4.619724171581924,2.716698173716369,9.044701044464682,7.510062104597388,528.1123409251501,182.28627185889195,1.0679759191069027,0.1274767666140627,1.2025834356186802,0.0248991758723478,1.0197423496601177,0.0403936032299574,0.6344771171481466,0.0058791731844644,60.86229589840276,28111.0,220045.0,17109.0,60.86,1.0,25911.0,92.17,1.0
roh,Romansh,Indo-European,Romance,Eurasia,46.6666666667,9.16666666667,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,80781.0,1794939.0,21169.0,11149.0,1705193.0,3114821.0,0.0124144305072798,0.0035793389090416,21169.0,7024.0,1.0,0.6300116602385865,0.0,0.0,0.0,0.0,7.860503566535972,5.371871916763835,4.842319901618175,2.650903535066702,10.188940040333884,8.141229174195866,1167.2841168824232,282.32815041915336,1.0704804194813171,0.1873021871604705,1.262128584250555,0.0187065992725211,1.0253765995989896,0.0712247821800816,0.7247431815636118,0.0053231511037167,26.205419591240517,80781.0,1794939.0,21169.0,26.21,4.0,62832.0,77.78,1.0
rom,Romany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12146.0,55942.0,9349.0,7696.0,53145.0,97652.0,0.1759149496660081,0.078810469831647,9349.0,5948.0,1.0,0.7728690228690228,3933.0,2915.0,0.4206867044603701,0.3787681912681913,7.749171034335223,5.188019750519751,5.12701100762066,2.790265432351616,10.590193963275398,8.850938189910103,1541.579913278861,461.74041073746986,1.0694191892180982,0.172317894962028,1.1770242806717297,0.0272756444539522,1.0352243861134631,0.09553109417631,0.6966977138018629,0.0102173299463731,76.97184258191997,12146.0,55942.0,9349.0,76.97,1.0,11587.0,95.4,1.0
