file,lang,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_zipf_slope,morph_zipf_slope,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_entropy,morph_entropy,word_perplexity,morph_perplexity,word_type_entropy,morph_type_entropy,word_type_perplexity,morph_type_perplexity,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_count,affix_count,prefix_count,suffix_count,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy
fra_MorphoLex-fra_Latn,fra,32063,22337,940016.916000006,1195651.3290000134,0.034108960651937664,0.018681867747081096,-1.2139646769836756,-1.408895609777461,32063,17494,1.0,0.7831848502484666,0,0,0.0,0.0,7.9651935252471695,6.748041366342839,5.024561000559665,3.9502883887982922,10.721920061395865,10.015194004997257,1688.9607209677845,1034.8414311302722,14.968621798268941,11.98165475433749,32063.000000154323,4044.2452002945975,1.6341265633284472,1.0249508779590182,0.6091756853694289,0.112528459595172,0.4961793968125253,0.7540248885007405,0.16179001721170397,1.2719466093097571,1.0098717404357838,0.2620748688739549,0.03774947811683842,0.22425581328580993,0.888994603422644,0.15300377475935084,10.308039018873018,5.650913489383337,5.031505160798939,5.111315662244394,22141,446,138,347,14.05737290403513,6.036955802161199,5.033211750994055,5.504889126540863
hbs_Morphynet-hbs_Latn,hbs,152282,115280,960726.6820000127,1275594.52500025,0.15850709973307267,0.09037354562177774,-1.24819882510654,-1.3541537939578443,152282,100364,1.0,0.8706106870229008,68,46,0.0004465399718942488,0.00039902845246356694,8.024776401675838,7.599340735600277,5.393792079566634,4.062366972764315,12.768986690590534,11.356306190431136,6979.880834505697,2621.7350685425413,17.21638589726738,14.517535692552023,152282.00000177012,23453.826416410917,1.433491811244927,1.0166795813031086,0.4168122299418185,0.20642623553670164,0.21034002705506888,0.7942824277765258,-0.001177856301531213,1.3277392508185464,1.0068364636093199,0.32090278720915977,0.1867672985062264,0.13412955465308704,0.8410729035177364,-0.00029105812780544447,12.210386359320442,6.329309517369986,4.7940211309362635,6.6115558461987005,115057,840,393,595,16.44746476046559,6.974255846004398,5.297484238284004,7.036215251894018
hin_kcis-hin_Deva,hin,21947,14507,954872.7340000009,1704602.532000051,0.02298421477390303,0.008510488355885866,-1.2818444804368303,-1.4949755314563633,21947,10990,1.0,0.757565313297029,0,0,0.0,0.0,5.778056226363512,4.90928517267526,3.9734391326750322,2.2258142979221422,10.608898871110945,8.78876993765737,1561.6970185025593,442.26581949348264,14.421736126563163,11.357445497923186,21947.000000085685,2623.8062908350666,1.8765662732947554,1.0609650521711396,0.815601221123616,0.08998952020777327,0.7212830910830638,0.6210856457222806,0.003745318352059925,1.7851620130144088,1.0246421173860842,0.7605198956283163,0.17748923282168028,0.5820478679622696,0.6433416038176883,0.03830666865960745,9.737906164787011,5.876837258262635,4.396499361343715,5.772033442280177,14251,655,192,592,13.291419718794234,6.876253124723802,6.3323545498565625,6.6871275038115305
hrv_CroDeriV-hrv_Latn,hrv,97955,35456,961450.6440000043,2118295.951999962,0.10188250495362876,0.016737982228840438,-1.2152294058618667,-1.6108066162170598,97955,23474,1.0,0.6620600180505415,32,8,0.0003266806186514216,0.0002256317689530686,7.965810831504262,6.221598601083032,5.334140903648901,2.4210490126075124,12.346491592935417,8.820420636330644,5207.920076363372,452.0757233903344,16.579831514637792,10.356440501707553,97955.00000078176,1310.9895784196021,2.6905722015211064,1.4679087336021643,1.2226634679189423,0.36323822163238223,0.7392680312388341,0.6075505516381698,0.19067135050741607,2.2032290115143813,1.3449728460528538,0.8582561654615739,0.2693719065208699,0.5247746341932806,0.690942424299322,0.165689406915302,9.329340580747008,6.378589995329681,5.195413212133911,5.871382961453782,35300,1035,491,763,11.443996904206983,7.108387257487923,5.542379955245802,6.863150821873993
hun_LDC_RLP-hun_Latn,hun,316280,102473,901465.9419999978,1659774.521000107,0.3508507479476144,0.061739108959362916,-1.2593079819785082,-1.6212222535570602,316280,71537,1.0,0.6981058425146136,104,6,0.0003288225622865815,5.8552008821835994e-05,9.573766915391426,6.8220897211948515,6.375876896966578,3.462891990616135,13.324915944609254,10.261546136965858,10261.22921628695,1227.5330365878324,18.270842804178184,11.638218148703311,316279.9999953221,3187.5188287730393,2.50405653218667,1.5098235740483117,0.9942329581383584,0.2231883141520172,0.6419153914253194,0.6668284770275713,0.12685634727973727,1.841194928915231,1.2868627875461838,0.5543321413689154,0.11381985965255638,0.3857517137347463,0.7897531728195964,0.11109328898973111,10.445773152479116,7.6240985897316085,7.295067214085139,6.988813771390491,101763,2706,1303,1885,12.582762037590848,8.108690361756729,7.7505251025826825,7.460360307309893
hye_Uniparser-hye_Armn,hye,224488,123613,950247.9129993115,1592555.245000543,0.23624150806228886,0.07761928535167259,-1.3038177350224964,-1.4611915436420146,224488,99601,1.0,0.8057485863137372,524,157,0.0023342004917857526,0.001270092951388608,8.955449734506967,8.399877035586872,6.622397902603507,3.95144378303676,13.297298505353227,9.804528107700403,10066.667203770792,894.2460978897458,17.776278802287315,11.851610043765614,224488.00000739828,3695.643922967678,1.8172196286661202,1.5031582979936566,0.31406133067246356,0.021404262143188055,0.23133530522789636,0.878948763408229,0.27192336035372144,1.67593658793011,1.4302041324250607,0.24573245550519374,0.020834230445728415,0.1803831007205055,0.8995370942742733,0.19426487804286074,10.000602951392834,4.939061821577781,2.585816975316678,4.835942770109592,123581,137,29,128,12.486990955742312,5.008652497857127,1.6427551783849437,4.9930458873901085
ind_LDC_RLP-ind_Latn,ind,25292,18162,967185.6990000103,1395395.7560000042,0.026150097159366427,0.013015662346618134,-1.2984652719095329,-1.436508940164204,25292,14938,1.0,0.8224865102962229,0,0,0.0,0.0,7.256365649217144,5.9466468450611165,6.0490848366027565,4.192778885017608,11.392899138678024,9.546902779626459,2689.084059748665,748.0043135814614,14.626393504168465,11.287713466507578,25291.999999903048,2500.0018835556143,1.5922821445516369,1.0153012810374822,0.5769808635141547,0.2944013917444251,0.28206547524909065,0.780530075386159,0.04385277995301488,1.44273820161187,1.0091839726426717,0.43355422896921364,0.24210240829873728,0.18959456099236455,0.8277083276366152,0.013322381920145617,10.675852142617252,4.208843003487864,3.7661431217803147,2.542125799764392,18044,235,90,169,13.791318200914864,4.333748271810399,3.9155170822990417,2.7633833484320114
ita_DerIvaTario-ita_Latn,ita,34609,22238,956483.5999999947,1466971.2240000516,0.03618357910161783,0.01515912489364496,-1.222009847934664,-1.4769253477560838,34609,17032,1.0,0.7658962136882813,0,0,0.0,0.0,8.050218151347915,6.286941271697095,5.129956607724405,3.3447959194595813,11.000973023616053,9.855844381155569,2049.3817365865825,926.6266603825347,15.078859636103214,11.884889468448154,34608.99999984609,3781.8841859769204,1.8823138489988154,1.056488196711838,0.8258256522869774,0.22471033546187408,0.5921292149440897,0.6747247825709854,0.17787286063569682,1.5337128874975006,1.0197784698033514,0.5139344176941464,0.20039150070111042,0.3107605148692546,0.7780536075230954,0.17561261275525666,10.428292670894255,6.683251091259611,4.83310032036684,6.639956481293267,21980,759,252,649,13.912171336311243,7.255750087263228,5.59385905161975,7.052105089943963
kan_kcis-kan_Knda,kan,480029,169581,981652.4280016535,2940795.423012691,0.48900098070066755,0.05766501085827763,-1.3556108422339916,-1.6542991155251365,480029,123059,1.0,0.7256650214351844,261,-23,0.000543717150422162,-0.00013562840176670736,9.780273691797786,7.499554785028983,6.933065294663068,2.314291160051913,14.432976701395841,8.359723592932196,22118.665143041188,328.49408730837206,18.872762040445508,9.033407437860854,480028.9999941616,523.99434716117,3.7294455126669432,3.408412825058486,0.321032687608457,0.015261577946332408,0.1898322809663583,0.9106150979503886,0.019345238095238096,2.995760351743605,2.7970731703784844,0.19868718136510943,0.01165335985903622,0.12730355005017832,0.9347931255059889,-0.024912003531475595,8.147386780548842,6.720932328336888,5.593268963080182,6.378942170855806,169267,1371,400,859,8.7653677632579,7.347975049788097,6.71537509547986,6.977983040864705
kat_MorphAGram-kat_Geor,kat,235514,77270,959652.3239999252,2554482.1000045133,0.2454159637923394,0.030248792896166107,-1.3138126823262424,-1.6716309914279865,235514,49685,1.0,0.6430050472369613,82,8,0.00034817463080751037,0.00010353306587291316,8.854034155082076,6.521664294033907,6.995970333314718,2.6281975046871744,13.794050388965504,8.462772741620414,14204.401148644642,352.8161379495082,17.845453297093652,9.177103131634974,235514.00000941628,578.8730298600101,3.188409181619776,2.678944776106728,0.5094644055130481,0.12075715244104385,0.24003243968511426,0.856928046825881,0.05037991410637595,2.661882888328932,2.305352282980291,0.35653060534875697,0.10697813513554033,0.1438959335026723,0.8917015263041783,0.060757885524625695,8.297036146601336,5.780985050567786,4.195500680152703,4.704216164887431,77062,929,409,435,9.02152326153948,6.307582426935447,5.07230788095513,5.08952737361621
