language,lang,script,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_zipf_slope,morph_zipf_slope,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted
isl_Latn,isl,Latn,106092,106092,1526456952.0,1526456952.0,0.11286381213725413,0.11286381213725413,-1.2574807086582018,-1.2574807086582018,106092,106092,1.0,1.0,0,0,0.0,0.0,8.731704558307884,8.731704558307884,4.808525430332607,4.808525430332607,11.181595273682012,11.181595273682012,2322.7131396289346,2322.7131396289346,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ita_Latn,ita,Latn,34610,34610,2446251901.0,2446251901.0,0.03681910910102809,0.03681910910102809,-1.2230831125510453,-1.2230831125510453,34610,34610,1.0,1.0,0,0,0.0,0.0,8.050043340075122,8.050043340075122,4.993752228462755,4.993752228462755,10.780439362759429,10.780439362759429,1758.8775862266057,1758.8775862266057,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
jav_Latn,jav,Latn,91343,91343,9500307.0,9500307.0,0.0971729418568271,0.0971729418568271,-1.2777988123546655,-1.2777988123546655,91342,91342,0.9999890522535936,0.9999890522535936,0,0,0.0,0.0,7.307544092048651,7.307544092048651,5.736417465246123,5.736417465246123,12.273507293592544,12.273507293592544,4951.01049996407,4951.01049996407,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kal_Latn,kal,Latn,402734,402734,3524588.0,3524588.0,0.4284410855104309,0.4284410855104309,-1.0007791352454738,-1.0007791352454738,402731,402731,0.9999925509144993,0.9999925509144993,161433,161433,0.40084273987296826,0.40084273987296826,17.054723465115934,17.054723465115934,12.021095798998351,12.021095798998351,14.64013528477386,14.64013528477386,25534.059220484458,25534.059220484458,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kan_Knda,kan,Knda,480029,480029,193990194.0,193990194.0,0.510661513460081,0.510661513460081,-1.3553991507787087,-1.3553991507787087,480028,480028,0.9999979167925271,0.9999979167925271,0,0,0.0,0.0,9.780252859723058,9.780252859723058,6.897661852949124,6.897661852949124,14.3004522165886,14.3004522165886,20177.393734710957,20177.393734710957,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kat_Geor,kat,Geor,235515,235515,638155270.0,638155270.0,0.25054761859431235,0.25054761859431235,-1.3140712180397236,-1.3140712180397236,235515,235515,1.0,1.0,0,0,0.0,0.0,8.854005052756724,8.854005052756724,6.794393071454224,6.794393071454224,13.481371810748769,13.481371810748769,11436.60963805863,11436.60963805863,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kaz_Cyrl,kaz,Cyrl,161555,161555,430054219.0,430054219.0,0.17186699787343368,0.17186699787343368,-1.34037039104057,-1.34037039104057,161555,161555,1.0,1.0,0,0,0.0,0.0,8.839720219120423,8.839720219120423,6.807099513654579,6.807099513654579,13.528634377699165,13.528634377699165,11817.476519373287,11817.476519373287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kin_Latn,kin,Latn,88987,88987,12480325.0,12480325.0,0.09466678148760677,0.09466678148760677,-1.273505207144446,-1.273505207144446,88970,88970,0.9998089608594514,0.9998089608594514,0,0,0.0,0.0,8.460449279108184,8.460449279108184,5.894832466301959,5.894832466301959,12.069832588271952,12.069832588271952,4299.140630736609,4299.140630736609,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kir_Cyrl,kir,Cyrl,121224,121224,65459958.0,65459958.0,0.12896156534608758,0.12896156534608758,-1.3027600624084452,-1.3027600624084452,121224,121224,1.0,1.0,0,0,0.0,0.0,8.611991024879561,8.611991024879561,6.435503044471859,6.435503044471859,13.111982629864626,13.111982629864626,8853.195899851651,8853.195899851651,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kor_Hang,kor,Hang,2228267,2228267,90847065.0,90847065.0,2.3701851242533447,2.3701851242533447,-1.2182038314921761,-1.2182038314921761,2228161,2228161,0.9999524293991698,0.9999524293991698,0,0,0.0,0.0,4.729069720998426,4.729069720998426,3.010112159374659,3.010112159374659,15.754332359079177,15.754332359079177,55274.72642117678,55274.72642117678,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
