iso_code,name,family,genus,macroarea,lat,lon,countries,typology
typ,Thaypan,Pama-Nyungan,Northern Pama-Nyungan,Australia,-14.8333333333,143.166666667,Australia,
tyv,Tuvan,Altaic,Turkic,Eurasia,52.0,95.0,Russia; Mongolia,
tza,Tanzania Sign Language,other,Sign Languages,Africa,-6.0,35.0,Tanzania,
tzh,Tzeltal (Aguacatenango),Mayan,Mayan,North America,16.4166666667,-92.5,Mexico,
tzj,Tzutujil,Mayan,Mayan,North America,14.6666666667,-91.3333333333,Guatemala,
tzm,Berber (Middle Atlas),Afro-Asiatic,Berber,Africa,33.0,-5.0,Morocco,
tzn,Tugun,Austronesian,Central Malayo-Polynesian,Papunesia,-7.71666666667,126.75,Indonesia,
tzo,Tzotzil,Mayan,Mayan,North America,16.5,-92.6666666667,Mexico,
ubu,Umbu Ungu,Trans-New Guinea,Chimbu-Wahgi,Papunesia,-6.0,144.0,Papua New Guinea,
uby,Ubykh,Northwest Caucasian,Northwest Caucasian,Eurasia,43.6666666667,39.6666666667,Russia; Turkey,
ude,Udihe,Altaic,Tungusic,Eurasia,47.6666666667,136.25,Russia,
udi,Udi,Nakh-Daghestanian,Lezgic,Eurasia,41.0,48.0,Azerbaijan,
udl,Uldeme,Afro-Asiatic,Biu-Mandara,Africa,10.95,14.1166666667,Cameroon,
udm,Udmurt,Uralic,Permic,Eurasia,57.5,52.5,Russia,
ugn,Ugandan Sign Language,other,Sign Languages,Africa,1.0,32.5,Uganda,
uig,Uyghur,Altaic,Turkic,Eurasia,40.0,80.0,China,Agglutinative
ukr,Ukrainian,Indo-European,Slavic,Eurasia,49.0,33.0,Ukraine,Fusional
uks,Urubú Sign Language,other,Sign Languages,South America,-2.33333333333,-46.0,Brazil,
ulc,Ulcha,Altaic,Tungusic,Eurasia,52.25,140.333333333,Russia,
ule,Lule,Lule,Lule,South America,-28.0,-64.0,Argentina,
uli,Ulithian,Austronesian,Oceanic,Papunesia,9.91666666667,139.583333333,Micronesia,
ulk,Meryam Mir,Eastern Trans-Fly,Eastern Trans-Fly,Papunesia,-9.91666666667,144.083333333,Australia,
uma,Sahaptin (Umatilla),Penutian,Sahaptian,North America,45.6666666667,-118.5,United States,
umb,UMbundu,Niger-Congo,Bantu,Africa,-12.5,15.0,Angola,
ump,Umpila,Pama-Nyungan,Northern Pama-Nyungan,Australia,-13.5,143.5,Australia,
umu,Munsee,Algic,Algonquian,North America,41.5,-74.6666666667,United States,
ung,Ungarinjin,Worrorran,Worrorran,Australia,-16.3333333333,126.0,Australia,
unm,Unami,Algic,Algonquian,North America,40.0,-75.1666666667,United States,
unr,Bhumij,Austro-Asiatic,Munda,Eurasia,21.3333333333,86.5,India,
upv,Atchin,Austronesian,Oceanic,Papunesia,-16.0,167.333333333,Vanuatu,
ura,Urarina,Urarina,Urarina,South America,-4.5,-75.5,Peru,
urb,Urubú-Kaapor,Tupian,Maweti-Guarani,South America,-2.33333333333,-46.5,Brazil,
urd,Urdu,Indo-European,Indic,Eurasia,25.0,67.0,Pakistan,Fusional
ure,Uru,Uru-Chipaya,Uru-Chipaya,South America,-16.75,-69.0,Bolivia,
urf,Uradhi,Pama-Nyungan,Northern Pama-Nyungan,Australia,-11.9166666667,142.416666667,Australia,
urh,Urhobo,Niger-Congo,Edoid,Africa,5.58333333333,6.0,Nigeria,
uri,Urim,Torricelli,Urim,Papunesia,-3.58333333333,142.666666667,Papua New Guinea,
urk,Urak Lawoi',Austronesian,Malayo-Sumbawan,Eurasia,8.0,98.3333333333,Thailand,
urt,Urat,Torricelli,Urat,Papunesia,-3.66666666667,142.833333333,Papua New Guinea,
ury,Orya,Tor-Kwerba,Tor-Orya,Papunesia,-2.75,139.833333333,Indonesia,
usa,Usarufa,Trans-New Guinea,Gauwa,Papunesia,-6.41666666667,145.583333333,Papua New Guinea,
ute,Ute,Uto-Aztecan,Northern Uto-Aztecan,North America,39.0,-109.0,United States,
uum,Urum,Altaic,Turkic,Eurasia,47.1166666667,37.55,Ukraine; Georgia,
uur,Ura,Austronesian,Oceanic,Papunesia,-18.6666666667,169.083333333,Vanuatu,
uwa,Kugu Nganhcara,Pama-Nyungan,Northern Pama-Nyungan,Australia,-14.4166666667,142.0,Australia,
uzb,Uzbek,Altaic,Turkic,Eurasia,39.0,66.0,Uzbekistan,Agglutinative
uzn,Uzbek (Northern),Altaic,Turkic,Eurasia,40.6666666667,66.5,Uzbekistan,Agglutinative
vaf,Vafsi,Indo-European,Iranian,Eurasia,34.6666666667,49.9166666667,Iran,
vag,Vagla,Niger-Congo,Grusi,Africa,9.41666666667,-2.41666666667,Ghana,
vai,Vai,Mande,Western Mande,Africa,6.91666666667,-11.25,Sierra Leone; Liberia,
vam,Dumo,Skou,Western Skou,Papunesia,-2.68333333333,141.3,Papua New Guinea,
van,Walman,Torricelli,West Palei,Papunesia,-3.21666666667,142.5,Papua New Guinea,
var,Guarijío,Uto-Aztecan,Tarahumaran,North America,27.75,-108.666666667,Mexico,
vas,Vasavi,Indo-European,Indic,Eurasia,24.5,71.5,India,
vay,Hayu,Sino-Tibetan,Himalayish,Eurasia,27.25,86.0,Nepal,
vec,Venetian,Indo-European,Romance,Eurasia,,,,Fusional
ved,Vedda,Indo-European,Indic,Eurasia,7.0,81.0,Sri Lanka,
ven,Venda,Niger-Congo,Bantu,Africa,-22.0,30.0,South Africa; Zimbabwe,
vep,Veps,Uralic,Finnic,Eurasia,60.0,35.0,Russia,
vgt,Vlaamse Gebarentaal,other,Sign Languages,Eurasia,51.0,4.0,Belgium,
vie,Vietnamese,Austro-Asiatic,Vietic,Eurasia,10.5,106.5,Vietnam,Isolating
vif,Vili,Niger-Congo,Bantu,Africa,-5.5,14.0,Congo; Gabon,
viv,Iduna,Austronesian,Oceanic,Papunesia,-9.33333333333,150.25,Papua New Guinea,
vka,Kariera,Pama-Nyungan,Western Pama-Nyungan,Australia,-20.5,118.5,Australia,
vkt,Kutai,Austronesian,Malayo-Sumbawan,Papunesia,-0.333333333333,116.666666667,Indonesia,
vma,Martuthunira,Pama-Nyungan,Western Pama-Nyungan,Australia,-20.8333333333,116.5,Australia,
vmb,Mbabaram,Pama-Nyungan,Northern Pama-Nyungan,Australia,-17.1666666667,145.0,Australia,
vnm,Vinmavis,Austronesian,Oceanic,Papunesia,-16.1666666667,167.416666667,Vanuatu,
vol,Volapük,other,Constructed,Eurasia,48.0,9.0,,Agglutinative
vot,Votic,Uralic,Finnic,Eurasia,59.5,30.0,Russia,
wac,Chinook (Upper),Penutian,Chinookan,North America,45.62,-121.16,United States,
wal,Wolaytta,Afro-Asiatic,Ta-Ne-Omotic,Africa,6.83333333333,37.75,Ethiopia,
wam,Massachusett,Algic,Algonquian,North America,42.5,-71.0,United States,
wan,Wan,Mande,Eastern Mande,Africa,7.83333333333,-5.86666666667,Côte d'Ivoire,
wao,Wappo,Wappo-Yukian,Wappo,North America,38.5,-122.5,United States,
wap,Wapishana,Arawakan,Negro-Roraima,South America,2.66666666667,-60.0,Guyana; Brazil,
waq,Wagiman,Wagiman,Wagiman,Australia,-14.0,131.25,Australia,
war,Waray-Waray,Austronesian,Greater Central Philippine,Papunesia,12.0,125.0,Philippines,Agglutinative
was,Washo,Washo,Washo,North America,39.25,-120.0,United States,
wau,Waurá,Arawakan,Central Arawakan,South America,-13.0,-53.0,Brazil,
waw,Wai Wai,Cariban,Cariban,South America,1.0,-59.0,Guyana; Brazil,
wax,Watam,Ramu-Lower Sepik,Lower Ramu,Papunesia,-3.91666666667,144.5,Papua New Guinea,
way,Wayana,Cariban,Cariban,South America,3.25,-54.1666666667,French Guiana; Suriname; Brazil,
wba,Warao,Warao,Warao,South America,9.33333333333,-61.6666666667,Venezuela,
wbj,Alagwa,Afro-Asiatic,Southern Cushitic,Africa,-5.5,35.75,Tanzania,
wbk,Waigali,Indo-European,Nuristani,Eurasia,35.0,71.25,Afghanistan,
wbl,Wakhi,Indo-European,Iranian,Eurasia,36.5,72.0,Pakistan; Afghanistan; Tajikistan,
wbp,Warlpiri,Pama-Nyungan,Western Pama-Nyungan,Australia,-20.0,132.333333333,Australia,
wbt,Wanman,Pama-Nyungan,Western Pama-Nyungan,Australia,-22.0,123.0,Australia,
wbv,Watjarri,Pama-Nyungan,Western Pama-Nyungan,Australia,-26.0,117.5,Australia,
wca,Yanomámi,Yanomam,Yanomam,South America,2.33333333333,-63.0,Brazil,
wdj,Bachamal,Wandjiginy,Wandjiginy,Australia,-13.1666666667,130.166666667,Australia,
wed,Wedau,Austronesian,Oceanic,Papunesia,-10.1666666667,150.166666667,Papua New Guinea,
wem,Wéménugbé,Niger-Congo,Tano,Africa,6.66666666667,2.5,Benin,
wep,German (Westphalian),Indo-European,Germanic,Eurasia,52.0,7.5,Germany,
wer,Weri,Trans-New Guinea,Core Goilalan,Papunesia,-7.75,146.916666667,Papua New Guinea,
wgg,Wangkangurru,Pama-Nyungan,Central Pama-Nyungan,Australia,-27.0,137.0,Australia,
wgu,Wirangu,Pama-Nyungan,Central Pama-Nyungan,Australia,-32.0,134.0,Australia,
wgy,Warrgamay,Pama-Nyungan,Northern Pama-Nyungan,Australia,-18.5833333333,146.083333333,Australia,
wib,Southern Toussian,Niger-Congo,Tusia,Africa,11.0,-4.66666666667,Burkina Faso,
wic,Wichita,Caddoan,Northern Caddoan,North America,33.3333333333,-97.3333333333,United States,
wig,Wik Ngathana,Pama-Nyungan,Northern Pama-Nyungan,Australia,-13.9166666667,141.5,Australia,
wim,Wik Munkan,Pama-Nyungan,Northern Pama-Nyungan,Australia,-13.9166666667,141.75,Australia,
win,Winnebago,Siouan,Mississippi Valley Siouan,North America,43.5,-88.5,United States,
wiy,Wiyot,Algic,Wiyot,North America,40.8333333333,-124.166666667,United States,
wkw,Wagawaga,Pama-Nyungan,Southeastern Pama-Nyungan,Australia,-26.5,152.5,Australia,
wlg,Gunbalang,Gunwinyguan,Marne,Australia,-12.0,134.0,Australia,
wln,Walloon,Indo-European,Romance,Eurasia,,,,Fusional
wlo,Wolio,Austronesian,Celebic,Papunesia,-5.5,122.75,Indonesia,
wls,Wallisian,Austronesian,Oceanic,Papunesia,-13.3,-176.2,Wallis and Futuna,
wmb,Wambaya,Mirndi,Wambayan,Australia,-18.6666666667,135.75,Australia,
wme,Wambule,Sino-Tibetan,Himalayish,Eurasia,29.25,85.9166666667,Nepal,
wms,Wambon,Trans-New Guinea,Dumut,Papunesia,-5.5,140.416666667,Indonesia,
wmt,Walmatjari,Pama-Nyungan,Western Pama-Nyungan,Australia,-19.5,125.75,Australia,
wmx,Womo,Skou,Serra Hills,Papunesia,-2.91666666667,141.833333333,Papua New Guinea,
