used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
deu,German,German (Berlin),,deu,,,deu,deu,Latin,99.93,,0.0,55115197,9286535605,Indo-European,Germanic,Eurasia,52.5,13.3333333333,Germany,"bible, glot500, mixed, news, news-gnd, newscrawl, newscrawl-hyphen, newscrawl-public, typical-mixed, wikipedia, wikipedia-WebCAGe, wikipedia-gnd"
diq,Dimli,Zazaki,,diq,,,diq,diq,Latin,99.2,,0.0,254523,2724602,Indo-European,Iranian,Eurasia,39.0,41.0,Turkey,"community, glot500, wikipedia"
div,Maldivian,Dhivehi,,div,,,div,div,Thaana,98.85,Arabic,0.67,1634332,42092388,Indo-European,Indic,Eurasia,4.16666666667,73.5,Maldives,"glot500, news, newscrawl, wikipedia"
djk,Ndyuka,,,,,,djk,djk,Latin,100.0,,0.0,3210,303490,other,Creoles and Pidgins,South America,4.5,-54.5,French Guiana; Suriname,glot500
dsb,Lower Sorbian,Sorbian (Lower),,dsb,,,dsb,dsb,Latin,99.83,,0.0,27980,114144,Indo-European,Slavic,Eurasia,51.75,14.3333333333,Germany,wikipedia
dtp,,,,,,,,dtp,Latin,100.0,,0.0,3233,13641,,,,,,,glot500
dyu,Dyula,,,,,,dyu,dyu,Latin,100.0,,0.0,13180,46864,Mande,Western Mande,Africa,9.83333333333,-4.66666666667,Burkina Faso; Mali; Côte d'Ivoire,glot500
dzo,,,,,,,,dzo,Tibetan,92.99,Latin,6.69,127513,173384,,,,,,,glot500
ekk,Standard Estonian,Estonian,,ekk,,,ekk,ekk,Latin,99.31,,0.0,1345951,19137427,Uralic,Finnic,Eurasia,59.0,26.0,Estonia,"glot500, wikipedia"
ell,Modern Greek,Greek (Cypriot),Greek,ell,Greek,,ell,ell,Greek,88.01,Latin,11.92,6135736,703548410,Indo-European,Greek,Eurasia,34.75,33.0,Cyprus,"bible, glot500, news, newscrawl, wikipedia"
eml,Emiliano-Romagnolo,,,eml,,,,eml,Latin,99.83,,0.0,126072,1604526,,,,,,,"glot500, wikipedia"
