language,original_distinct_words,original_total_frequency,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted,cutoff_word_pct
German,49780613.0,9964159537.0,197466,75782,9465952505,21302282566,2.0860658227019067e-05,3.557459148577515e-06,197465,51545,0.9999949358370555,0.6801747116729566,0,0,0.0,0.0,10.072154193633335,7.077815312343301,5.607367773286752,2.491708428688205,11.50217958140992,8.319721386396862,2900.6883420835734,319.51091053863877,1.0076924245570147,0.015197476033970233,3.1375571614497613,8.102619678224716e-05,1.004028338086406,0.00549169003040545,1.2408867675805013,3.330272361217599e-05,0.3966724957766189
Dimli,85978.0,991519.0,45907,18053,941945,2345827,0.048736391190568454,0.007695793423811731,45907,11394,1.0,0.6311416385088351,0,0,0.0,0.0,6.794693619709412,4.652412341439096,4.511679556662013,1.8116229372413226,11.580501208158745,7.239478152998398,3062.5150278875785,151.11239088896406,1.0000217831703226,0.0003267475548391313,2.425076785675387,0.0,1.0000021232662204,0.00026540827755336036,1.4902388143681424,0.0,53.3938914606062
Maldivian,268161.0,3045521.0,115885,79511,2893245,6106483,0.040053642190689,0.013020751879600745,115885,61663,1.0,0.7755279143766272,4440,3553,0.03831384562281572,0.04468564098049326,10.735763903870216,7.964017557319113,7.768600654282648,3.6807545357941716,13.022070698644693,9.342100860558231,8318.286722367246,649.0117828956786,1.0001294386676447,0.0001380679121542909,2.644423350735643,0.0,1.0003636055709073,0.0012712369674880628,1.1089651930617697,0.0,43.214710565667644
Lower Sorbian,31124.0,168013.0,22724,10803,159613,405484,0.14236935587953362,0.026642234958716003,22724,6465,1.0,0.5984448764232158,6271,2569,0.2759637387783841,0.237804313616588,8.11353634923429,4.849949088216237,5.418863125184039,2.1330582711031756,11.297872337905638,7.8621324199879234,2517.6680053107725,232.66855267247587,1.0001760253476502,0.0005280760429501848,2.736666079915508,0.0,1.0000313257692042,0.00019421976906642941,1.5405010870041913,0.0,73.01118108212312
Standard Estonian,895873.0,11691442.0,364906,120333,11106871,33503878,0.03285407744449359,0.003591614081211733,364905,71634,0.9999972595682176,0.5952980479170302,0,0,0.0,0.0,10.121316174576465,6.426898689470054,6.5838498529423815,2.182612144182235,13.673022260058364,7.621075582448839,13061.403064960801,196.8667399339458,1.000183607923093,0.0005480833525162507,3.5879838205794337,0.0,1.0001032694086391,0.0006778686814675348,2.0157329638563373,0.0,40.73188945308096
Modern Greek,2546334.0,398568481.0,59361,32438,378640282,794267073,0.0001567741279043311,4.084016712096537e-05,59361,20678,1.0,0.6374622356495468,0,0,0.0,0.0,8.44359090985664,6.285128552931747,5.255402852251203,2.5053376699653267,10.924173750812733,8.049418096017362,1943.139485098325,264.92094438475306,1.004464210508583,0.010613028756254106,2.1832179377032057,0.0,1.0025468631993042,0.006518825696416527,1.0886167573686731,0.0,2.331233844421038
Emiliano-Romagnolo,67751.0,849427.0,29765,14969,806956,1647561,0.03688553031392046,0.009085551308874147,29765,10046,1.0,0.6711203153183245,0,0,0.0,0.0,6.503947589450697,4.438105417863585,3.5048862639350844,1.7166520693315757,9.867168928620234,6.945013437756628,933.9289110647834,123.21323636203974,1.0002351755417436,0.0008399126490844952,2.097295481269948,0.0,1.0000508082225052,0.0024908421276996517,1.0391570296273898,0.0,43.932930879249014
English,35475715.0,27026571614.0,39278,20687,25675251228,49786698385,1.5298000261499137e-06,4.155125901305536e-07,39277,14555,0.9999745404552166,0.7035819596848262,0,0,0.0,0.0,7.2149294770609504,5.467830038188234,4.796839427405037,2.473754263570655,10.835571770863924,8.560421737330024,1827.3936994367116,377.52326337862075,1.0092670383665572,0.015275337966852516,1.8112477405229257,0.00017821227627994602,1.0045810768103305,0.011159853605931774,0.9233391283878268,2.1102033050766922e-05,0.11071799398546302
Esperanto,1369139.0,53331226.0,122256,29709,50664671,126153157,0.002413042413716651,0.00023549945721929098,122256,17040,1.0,0.5735635665959811,0,0,0.0,0.0,8.022551040439733,5.29795684809317,4.83247569099975,1.9407821161384016,10.946466371675045,7.040414858572319,1973.3981848630665,131.63641748149968,1.001145138070933,0.00604469310299699,2.905493390917419,0.0,1.0017933995860744,0.004492519057313132,1.4836792880782745,0.0,8.929407459724688
Estonian,1754569.0,66164690.0,201877,50694,62856462,172971608,0.003211714334160265,0.0002930770002438782,201877,24704,1.0,0.48731605318183613,0,0,0.0,0.0,9.794795841031915,6.398567877855368,6.179750603844041,2.2456706247420675,12.843415900299897,7.598109969011353,7349.42619205851,193.75771806313648,1.0004359089940904,0.0013275410274573131,3.432065069324391,0.0,1.0004784710918029,0.0012795184049652682,1.750105900010726,0.0,11.505788601075249
Basque,810465.0,15516345.0,192536,48926,14740530,44027082,0.013061674173181019,0.0011112705584258344,192535,25100,0.9999948061661196,0.5130196623472183,0,0,0.0,0.0,9.344626459467321,5.8445407349875325,6.550118415009501,2.1930187651318795,12.689528103311678,7.23905434316095,6605.848205746224,151.06800624063683,1.000192170855472,0.0014334907056825442,3.4162732357936396,0.0,1.0001582032667753,0.0022860100688374164,1.9843643342539243,0.0,23.75623870247327
