file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
arg,494326,12301588,267,6151905,489,6766645,870,7381789,1545,7996414,2755,8611386,3482,8857169,4427,9103387,5666,9349319,7296,9595265,9467,9841366,10819,9964344,12403,10087303,14271,10210322,16473,10333368,19077,10456370,22180,10579387,25916,10702410,30458,10825419,36055,10948426,43027,11071433,47153,11132944,51758,11194451,57036,11255963,62969,11317469,69686,11378970,77414,11440479,86231,11501987,96482,11563493,108453,11625003,122347,11686511,137724,11748019,157328,11809527,177830,11871033,205113,11932542,235867,11994050,266621,12055558,309803,12117065,371311,12178573,432819,12240081,494326,12301588,9400,9834733,64017,11327949,24716,10665446,148297,11782434
arn,17761,193769,35,97335,52,106869,78,116306,118,126119,184,135688,224,139531,278,143402,350,147307,444,151159,576,155021,663,156965,764,158897,887,160831,1036,162769,1216,164709,1440,166649,1716,168580,2061,170519,2482,172457,2988,174393,3311,175362,3634,176331,3957,177300,4408,178269,4892,179237,5377,180207,5861,181175,6345,182143,7104,183112,8073,184081,9042,185050,10011,186019,10980,186988,11948,187956,12917,188925,13886,189894,14855,190863,15824,191832,16793,192801,17761,193769,199,137253,1229,164839,888,160845,5328,180109
ary,120531,567331,1937,283682,2981,312040,4540,340410,6902,368771,10541,397134,12508,408481,14802,419827,17639,431175,21044,442519,24826,453865,27273,459539,30110,465213,32946,470885,35783,476559,38620,482233,41456,487905,46778,493578,52452,499252,58125,504925,63798,510598,66635,513435,69472,516272,72308,519108,75145,521945,77982,524782,80818,527618,83655,530455,86492,533292,89328,536128,92165,538965,95002,541802,97838,544638,100675,547475,103512,550312,106348,553148,109185,555985,112022,558822,114858,561658,117695,564495,120531,567331,545,208764,7082,370571,6026,359606,36159,477311
arz,1711037,45335001,229,22671660,413,24936644,797,27201684,1558,29468400,3084,31734656,4101,32641858,5491,33548242,7403,34454831,10049,35361441,13779,36268044,16212,36721390,19146,37174781,22708,37628129,27060,38081413,32419,38534826,39069,38988131,47421,39441483,58029,39894817,71662,40348169,89476,40801512,100424,41028187,113065,41254865,127773,41481527,144967,41708202,165086,41934878,188888,42161558,216774,42388228,250506,42614901,290038,42841580,337610,43068253,394279,43294929,461149,43521603,536707,43748277,635687,43974951,749025,44201627,862362,44428301,1031012,44654976,1257687,44881651,1484362,45108326,1711037,45335001,25829,37962269,177548,42059498,85551,40712121,513311,43678089
asm,1626990,46572832,1332,23289525,1908,25615358,2735,27945811,3977,30273425,5950,32601062,7049,33532913,8417,34463954,10154,35395392,12392,36326914,15321,37258387,17130,37724041,19244,38189734,21727,38655590,24679,39121260,28229,39586920,32531,40052674,37828,40518414,44444,40984107,52894,41449839,63895,41915569,70668,42148416,78530,42381278,87726,42614145,98559,42847022,111397,43079878,126788,43312735,145353,43545605,168121,43778468,195875,44011332,230985,44244196,274231,44477055,328788,44709920,396976,44942785,474597,45175648,588209,45408513,704641,45641377,928398,45874240,1161262,46107104,1394126,46339968,1626990,46572832,32200,40019994,164945,43749884,81349,42456491,488097,45208289
ast,2927509,162513226,435,81258930,793,89390841,1382,97511654,2358,105639026,3966,113760310,4898,117012528,6074,120261995,7562,123510539,9474,126760414,11988,130011464,13548,131636064,15370,133260912,17516,134886238,20068,136511496,23128,138136274,26809,139761499,31289,141386702,36818,143011722,43791,144636929,52750,146262017,58221,147074533,64525,147887131,71872,148699684,80509,149512225,90734,150324748,102947,151137317,117745,151949898,135927,152762445,158526,153575001,187125,154387566,224118,155200149,272984,156012704,339228,156825267,431765,157637836,565311,158450399,754995,159262964,1028935,160075528,1435218,160888094,2114943,161700660,2927509,162513226,73190,148832698,362749,157060477,146375,153160491,878252,159636833
ava,21214,67460,952,33734,1369,37108,1948,40479,2741,43852,3865,47224,4518,48573,5192,49921,5867,51271,6541,52619,7722,53968,8397,54643,9072,55318,9746,55992,10421,56667,11095,57341,11770,58016,12445,58691,13119,59365,13794,60040,14468,60714,14806,61052,15143,61389,15480,61726,15818,62064,16155,62401,16492,62738,16830,63076,17167,63413,17504,63750,17841,64087,18179,64425,18516,64762,18853,65099,19191,65437,19528,65774,19865,66111,20203,66449,20540,66786,20877,67123,21214,67460,53,12919,958,33794,1060,34712,6364,52265
aym,105708,540229,796,270137,1479,297127,2682,324139,4765,351156,8273,378165,10253,388965,12599,399773,15300,410577,18810,421379,22412,432185,24213,437588,26736,442988,29438,448392,32139,453794,34840,459196,37541,464598,40242,470000,42943,475402,46283,480804,51686,486207,54387,488908,57088,491609,59789,494310,62490,497011,65191,499712,67892,502413,70594,505115,73295,507816,75996,510517,78697,513218,81398,515919,84099,518620,86800,521321,89502,524023,92203,526724,94904,529425,97605,532126,100306,534827,103007,537528,105708,540229,416,243282,5066,354166,5285,356137,31712,452940
ayr,15424,29818,1695,14910,2440,16400,3497,17891,4988,19382,6479,20873,7075,21469,7672,22066,8268,22662,8865,23259,9461,23855,9759,24153,10057,24451,10355,24749,10654,25048,10952,25346,11250,25644,11548,25942,11846,26240,12145,26539,12443,26837,12592,26986,12741,27135,12890,27284,13039,27433,13188,27582,13337,27731,13486,27880,13635,28029,13785,28179,13934,28328,14083,28477,14232,28626,14381,28775,14530,28924,14679,29073,14828,29222,14977,29371,15126,29520,15275,29669,15424,29818,15,3565,259,9313,771,12303,4627,19021
azb,17617,45142,1183,22573,1706,24832,2416,27087,3392,29343,4521,31601,4978,32503,5881,33406,6783,34308,7686,35211,8589,36114,9041,36566,9492,37017,9943,37468,10395,37920,10846,38371,11298,38823,11749,39274,12200,39725,12652,40177,13103,40628,13329,40854,13555,41080,13780,41305,14006,41531,14232,41757,14458,41983,14683,42208,14909,42434,15135,42660,15360,42885,15586,43111,15812,43337,16038,43563,16263,43788,16489,44014,16715,44240,16940,44465,17166,44691,17392,44917,17617,45142,28,7087,539,18244,880,20870,5285,32810
